country,sex,year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
Pakistan,MALE,2020,14509,13226,12155,11443,10742,9821,8597,7144,5923,4905,4177,3486,2666,1821,1372,940,495,193,49,7,1
Panama,MALE,2020,199,196,189,182,177,166,159,152,144,134,117,98,78,59,43,31,20,11,5,2,0
Papua New Guinea,MALE,2020,573,539,513,476,430,368,325,298,260,217,175,138,105,73,42,22,9,3,1,0,0
Paraguay,MALE,2020,359,349,346,337,346,328,304,263,209,164,147,130,111,91,62,41,24,10,4,1,0
Peru,MALE,2020,1450,1309,1326,1182,1209,1361,1373,1309,1181,1048,900,758,617,501,353,244,161,71,22,4,0
Philippines,MALE,2020,5451,5846,5578,5408,5192,4808,4167,3645,3297,2884,2539,2076,1615,1137,710,381,202,75,17,2,0
Poland,MALE,2020,967,974,1011,882,995,1264,1470,1647,1503,1292,1111,1128,1280,1095,780,400,299,166,62,13,1
Portugal,MALE,2020,206,227,250,268,270,263,274,318,369,390,354,347,313,284,253,191,139,79,24,5,0
Puerto Rico,MALE,2020,44,80,108,99,79,75,78,85,94,95,96,91,87,70,68,50,31,17,8,2,0
Qatar,MALE,2020,69,70,63,58,189,407,401,264,197,165,125,79,43,22,9,2,1,1,0,0,0
Republic of Korea,MALE,2020,974,1159,1175,1289,1683,1871,1733,1975,2016,2186,2168,2083,1856,1288,930,665,404,161,42,8,1
Republic of Moldova,MALE,2020,104,114,111,105,123,168,212,181,150,126,110,130,112,94,41,27,16,7,2,0,0
Réunion,MALE,2020,33,34,35,36,33,27,23,23,27,29,32,29,24,19,13,9,5,3,1,0,0
Romania,MALE,2020,483,496,555,511,523,563,729,613,773,763,762,506,596,548,386,232,184,93,32,6,0
Russian Federation,MALE,2020,4763,4802,4186,3621,3374,4576,6301,5911,5128,4675,3929,4661,4225,3256,1923,937,920,319,122,11,1
Rwanda,MALE,2020,950,841,775,673,586,503,485,390,292,217,176,188,123,83,44,25,9,6,1,0,0
Saint Lucia,MALE,2020,5,6,6,7,8,8,7,7,6,6,6,5,4,3,2,2,1,1,0,0,0
Saint Vincent and the Grenadines,MALE,2020,4,4,4,5,5,4,4,4,4,4,3,4,3,2,1,1,1,0,0,0,0
Samoa,MALE,2020,14,13,12,10,9,8,6,5,5,5,5,4,3,2,1,1,0,0,0,0,0
Sao Tome and Principe,MALE,2020,16,15,15,13,9,8,7,6,6,4,4,3,2,1,1,0,0,0,0,0,0
Saudi Arabia,MALE,2020,1511,1510,1341,1129,1228,1664,2021,2210,2294,1862,1285,898,532,315,151,102,50,21,7,1,0
Senegal,MALE,2020,1326,1225,1062,890,759,641,531,437,334,261,205,160,122,93,60,39,18,5,1,0,0
Serbia,MALE,2020,217,226,252,265,273,296,318,302,311,301,280,266,259,272,205,110,79,39,9,1,0
Seychelles,MALE,2020,4,4,4,3,3,4,4,4,4,4,3,3,2,1,1,1,0,0,0,0,0
Sierra Leone,MALE,2020,581,534,497,439,378,329,281,236,190,150,116,87,62,43,29,17,7,2,0,0,0
Singapore,MALE,2020,134,114,123,137,219,238,230,238,245,260,249,260,239,189,90,44,31,15,5,1,0
Slovakia,MALE,2020,145,145,145,135,149,187,210,224,235,205,172,176,170,149,99,60,32,16,5,1,0
Slovenia,MALE,2020,52,56,54,47,50,56,70,78,83,77,77,75,73,69,45,34,23,12,3,1,0
Solomon Islands,MALE,2020,53,48,41,36,32,26,21,19,18,16,11,9,7,5,3,2,1,0,0,0,0
Somalia,MALE,2020,1424,1202,1066,913,768,577,430,327,273,237,195,159,130,99,66,35,16,5,1,0,0
South Africa,MALE,2020,2919,2943,2775,2472,2477,2629,2710,2404,1893,1578,1291,1036,804,585,359,213,96,28,4,0,0
South Sudan,MALE,2020,865,779,698,607,534,451,372,294,245,201,163,127,95,67,52,32,15,5,1,0,0
Spain,MALE,2020,1026,1157,1291,1151,1155,1204,1316,1636,2027,2013,1829,1684,1426,1148,1023,806,531,378,148,28,3
Sri Lanka,MALE,2020,844,856,865,831,743,675,623,682,731,660,640,589,513,405,312,165,78,39,15,3,0
State of Palestine,MALE,2020,355,343,303,263,253,238,188,150,126,101,84,65,43,30,24,13,7,2,0,0,0
Sudan,MALE,2020,3216,2934,2696,2429,2101,1748,1394,1173,978,827,697,547,419,313,213,127,63,24,6,1,0
Suriname,MALE,2020,27,27,27,26,25,24,22,20,18,19,17,16,11,7,5,3,2,1,0,0,0
Sweden,MALE,2020,309,304,301,277,280,374,353,321,310,332,345,312,284,260,275,206,120,63,25,5,0
Switzerland,MALE,2020,231,222,210,217,246,281,302,312,287,300,342,324,270,216,202,152,98,56,21,4,0
Syrian Arab Republic,MALE,2020,980,875,892,804,818,766,771,686,533,405,334,286,222,167,98,63,36,17,5,1,0
Tajikistan,MALE,2020,698,627,502,416,425,413,392,302,235,200,180,158,118,66,36,19,13,4,1,0,0
Thailand,MALE,2020,1850,1977,2117,2245,2450,2427,2232,2362,2580,2680,2659,2406,2039,1493,1013,683,437,214,81,18,3
Timor-Leste,MALE,2020,91,78,78,78,66,58,45,35,23,28,25,20,15,10,8,5,2,1,0,0,0
Togo,MALE,2020,612,562,514,447,373,316,284,248,205,162,124,94,70,50,33,18,7,2,0,0,0
Tonga,MALE,2020,6,6,6,6,5,4,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0
Trinidad and Tobago,MALE,2020,45,49,49,45,43,49,59,63,50,45,40,45,37,29,20,13,7,3,1,0,0
Tunisia,MALE,2020,515,522,442,409,426,457,449,485,408,352,340,321,264,202,112,77,49,24,6,1,0
Turkey,MALE,2020,3357,3503,3462,3489,3449,3245,3219,3188,2977,2662,2316,1989,1581,1213,862,584,356,153,30,3,0
Turkmenistan,MALE,2020,335,341,265,245,233,276,262,213,186,155,138,113,88,56,29,14,12,4,1,0,0
Uganda,MALE,2020,3938,3561,3120,2636,2124,1713,1365,1078,846,662,515,370,255,172,105,56,21,6,1,0,0
Ukraine,MALE,2020,1088,1275,1237,1021,1101,1409,1825,1829,1627,1474,1299,1380,1226,999,633,377,320,104,36,4,0
United Arab Emirates,MALE,2020,255,262,231,201,487,1082,1322,967,678,534,336,255,144,37,24,15,4,2,1,0,0
United Kingdom,MALE,2020,2009,2109,2022,1881,2073,2275,2361,2280,2148,2128,2281,2232,1920,1647,1625,1137,767,439,170,35,3
United Republic of Tanzania,MALE,2020,4925,4362,3869,3242,2641,2295,1947,1624,1339,1063,819,611,445,305,200,107,44,12,1,0,0
United States of America,MALE,2020,10055,10246,10778,10834,11323,12144,11703,10859,10119,9969,10320,10702,10050,8465,6646,4327,2806,1539,703,179,21
United States Virgin Islands,MALE,2020,3,4,4,4,3,3,2,2,3,3,3,3,4,3,3,2,1,0,0,0,0
Uruguay,MALE,2020,121,121,119,125,129,131,121,111,116,109,95,93,83,68,53,39,24,14,5,1,0
Uzbekistan,MALE,2020,1767,1684,1501,1296,1420,1616,1524,1265,1039,890,749,704,545,355,149,98,65,24,7,1,0
Vanuatu,MALE,2020,22,20,19,16,13,12,11,9,8,7,6,5,3,2,2,1,1,0,0,0,0
Venezuela (Bolivarian Republic of),MALE,2020,1203,1395,1360,1275,1055,1003,1008,953,904,822,773,677,557,404,274,168,91,43,15,4,1
Viet Nam,MALE,2020,4165,4005,3734,3365,3500,4364,4279,3916,3526,3267,2908,2530,2012,1339,665,423,298,193,79,26,6
Western Sahara,MALE,2020,29,28,25,24,26,28,30,29,25,20,16,13,10,6,3,1,1,0,0,0,0
Yemen,MALE,2020,2100,1998,1808,1628,1482,1419,1174,909,695,509,364,299,244,174,118,64,28,9,2,0,0
Zambia,MALE,2020,1489,1371,1223,1062,867,704,582,485,397,298,210,155,107,70,45,24,10,3,0,0,0
Zimbabwe,MALE,2020,1055,1110,963,817,672,504,430,389,340,240,179,136,99,72,42,29,13,4,1,0,0
